sidoname,cityname,pm10value,pm25value,datetime
경기,가평군,33,13,2022-02-23T23:00:00.000Z
경기,고양시,23,9,2022-02-23T23:00:00.000Z
경기,과천시,15,3,2022-02-23T23:00:00.000Z
경기,광명시,18,3,2022-02-23T23:00:00.000Z
경기,광주시,23,5,2022-02-23T23:00:00.000Z
경기,구리시,21,8,2022-02-23T23:00:00.000Z
경기,군포시,18,2,2022-02-23T23:00:00.000Z
경기,김포시,22,11,2022-02-23T23:00:00.000Z
경기,남양주시,28,8,2022-02-23T23:00:00.000Z
경기,동두천시,32,12,2022-02-23T23:00:00.000Z
경기,부천시,20,8,2022-02-23T23:00:00.000Z
경기,성남시,20,7,2022-02-23T23:00:00.000Z
경기,수원시,18,3,2022-02-23T23:00:00.000Z
경기,시흥시,18,8,2022-02-23T23:00:00.000Z
경기,안산시,19,9,2022-02-23T23:00:00.000Z
경기,안성시,18,4,2022-02-23T23:00:00.000Z
경기,안양시,19,6,2022-02-23T23:00:00.000Z
경기,양주시,25,9,2022-02-23T23:00:00.000Z
경기,양평군,27,11,2022-02-23T23:00:00.000Z
경기,여주시,31,16,2022-02-23T23:00:00.000Z
경기,연천군,null,17,2022-02-23T23:00:00.000Z
경기,오산시,13,7,2022-02-23T23:00:00.000Z
경기,용인시,22,8,2022-02-23T23:00:00.000Z
경기,의왕시,18,3,2022-02-23T23:00:00.000Z
경기,의정부시,25,9,2022-02-23T23:00:00.000Z
경기,이천시,19,7,2022-02-23T23:00:00.000Z
경기,파주시,26,9,2022-02-23T23:00:00.000Z
경기,평택시,18,8,2022-02-23T23:00:00.000Z
경기,포천시,28,13,2022-02-23T23:00:00.000Z
경기,하남시,24,8,2022-02-23T23:00:00.000Z
경기,화성시,17,6,2022-02-23T23:00:00.000Z
경기,가평군,76,44,2022-02-26T15:00:00.000Z
경기,고양시,59,19,2022-02-26T15:00:00.000Z
경기,과천시,57,38,2022-02-26T15:00:00.000Z
경기,광명시,60,30,2022-02-26T15:00:00.000Z
경기,광주시,66,38,2022-02-26T15:00:00.000Z
경기,구리시,59,25,2022-02-26T15:00:00.000Z
경기,군포시,54,27,2022-02-26T15:00:00.000Z
경기,김포시,54,20,2022-02-26T15:00:00.000Z
경기,남양주시,63,34,2022-02-26T15:00:00.000Z
경기,동두천시,93,27,2022-02-26T15:00:00.000Z
경기,부천시,52,25,2022-02-26T15:00:00.000Z
경기,성남시,66,38,2022-02-26T15:00:00.000Z
경기,수원시,62,31,2022-02-26T15:00:00.000Z
경기,시흥시,49,24,2022-02-26T15:00:00.000Z
경기,안산시,50,24,2022-02-26T15:00:00.000Z
경기,안성시,67,32,2022-02-26T15:00:00.000Z
경기,안양시,59,30,2022-02-26T15:00:00.000Z
경기,양주시,59,25,2022-02-26T15:00:00.000Z
경기,양평군,79,49,2022-02-26T15:00:00.000Z
경기,여주시,90,41,2022-02-26T15:00:00.000Z
경기,연천군,null,31,2022-02-26T15:00:00.000Z
경기,오산시,50,26,2022-02-26T15:00:00.000Z
경기,용인시,63,39,2022-02-26T15:00:00.000Z
경기,의왕시,54,33,2022-02-26T15:00:00.000Z
경기,의정부시,52,30,2022-02-26T15:00:00.000Z
경기,이천시,68,38,2022-02-26T15:00:00.000Z
경기,파주시,76,22,2022-02-26T15:00:00.000Z
경기,평택시,62,26,2022-02-26T15:00:00.000Z
경기,포천시,53,32,2022-02-26T15:00:00.000Z
경기,하남시,55,25,2022-02-26T15:00:00.000Z
경기,화성시,51,26,2022-02-26T15:00:00.000Z
경기,과천시,54,26,2022-02-26T17:00:00.000Z
경기,광명시,51,25,2022-02-26T17:00:00.000Z
경기,광주시,57,32,2022-02-26T17:00:00.000Z
경기,구리시,53,26,2022-02-26T17:00:00.000Z
경기,군포시,45,22,2022-02-26T17:00:00.000Z
경기,김포시,43,21,2022-02-26T17:00:00.000Z
경기,남양주시,55,30,2022-02-26T17:00:00.000Z
경기,동두천시,43,22,2022-02-26T17:00:00.000Z
경기,부천시,47,22,2022-02-26T17:00:00.000Z
경기,성남시,50,28,2022-02-26T17:00:00.000Z
경기,수원시,50,24,2022-02-26T17:00:00.000Z
경기,시흥시,48,23,2022-02-26T17:00:00.000Z
경기,안산시,44,19,2022-02-26T17:00:00.000Z
경기,안성시,59,31,2022-02-26T17:00:00.000Z
경기,안양시,47,25,2022-02-26T17:00:00.000Z
경기,양주시,42,24,2022-02-26T17:00:00.000Z
경기,양평군,67,35,2022-02-26T17:00:00.000Z
경기,여주시,68,34,2022-02-26T17:00:00.000Z
경기,연천군,null,30,2022-02-26T17:00:00.000Z
경기,오산시,46,27,2022-02-26T17:00:00.000Z
경기,용인시,56,30,2022-02-26T17:00:00.000Z
경기,의왕시,55,27,2022-02-26T17:00:00.000Z
경기,의정부시,41,32,2022-02-26T17:00:00.000Z
경기,이천시,63,32,2022-02-26T17:00:00.000Z
경기,파주시,59,20,2022-02-26T17:00:00.000Z
경기,평택시,63,25,2022-02-26T17:00:00.000Z
경기,포천시,43,29,2022-02-26T17:00:00.000Z
경기,하남시,54,24,2022-02-26T17:00:00.000Z
경기,화성시,52,25,2022-02-26T17:00:00.000Z
경기,가평군,35,19,2022-02-24T11:00:00.000Z
경기,고양시,29,10,2022-02-24T11:00:00.000Z
경기,과천시,42,20,2022-02-24T11:00:00.000Z
경기,광명시,43,29,2022-02-24T11:00:00.000Z
경기,광주시,45,26,2022-02-24T11:00:00.000Z
경기,구리시,55,24,2022-02-24T11:00:00.000Z
경기,군포시,33,8,2022-02-24T11:00:00.000Z
경기,김포시,37,19,2022-02-24T11:00:00.000Z
경기,남양주시,41,22,2022-02-24T11:00:00.000Z
경기,동두천시,44,24,2022-02-24T11:00:00.000Z
경기,부천시,53,30,2022-02-24T11:00:00.000Z
경기,성남시,31,20,2022-02-24T11:00:00.000Z
경기,수원시,41,26,2022-02-24T11:00:00.000Z
경기,시흥시,41,24,2022-02-24T11:00:00.000Z
경기,안산시,39,21,2022-02-24T11:00:00.000Z
경기,안성시,38,21,2022-02-24T11:00:00.000Z
경기,안양시,38,21,2022-02-24T11:00:00.000Z
경기,양주시,29,15,2022-02-24T11:00:00.000Z
경기,양평군,32,22,2022-02-24T11:00:00.000Z
경기,여주시,39,20,2022-02-24T11:00:00.000Z
경기,연천군,null,16,2022-02-24T11:00:00.000Z
경기,오산시,31,20,2022-02-24T11:00:00.000Z
경기,용인시,47,28,2022-02-24T11:00:00.000Z
경기,의왕시,33,19,2022-02-24T11:00:00.000Z
경기,의정부시,30,18,2022-02-24T11:00:00.000Z
경기,이천시,25,11,2022-02-24T11:00:00.000Z
경기,파주시,46,33,2022-02-24T11:00:00.000Z
경기,평택시,37,13,2022-02-24T11:00:00.000Z
경기,포천시,51,20,2022-02-24T11:00:00.000Z
경기,하남시,39,18,2022-02-24T11:00:00.000Z
경기,화성시,37,17,2022-02-24T11:00:00.000Z
경기,가평군,75,38,2022-02-26T17:00:00.000Z
경기,고양시,47,19,2022-02-26T17:00:00.000Z
경기,가평군,64,51,2022-02-25T12:00:00.000Z
경기,고양시,78,48,2022-02-25T12:00:00.000Z
경기,과천시,75,49,2022-02-25T12:00:00.000Z
경기,광명시,83,65,2022-02-25T12:00:00.000Z
경기,광주시,80,67,2022-02-25T12:00:00.000Z
경기,구리시,73,49,2022-02-25T12:00:00.000Z
경기,군포시,70,45,2022-02-25T12:00:00.000Z
경기,김포시,85,62,2022-02-25T12:00:00.000Z
경기,남양주시,69,45,2022-02-25T12:00:00.000Z
경기,동두천시,110,50,2022-02-25T12:00:00.000Z
경기,부천시,78,54,2022-02-25T12:00:00.000Z
경기,성남시,70,51,2022-02-25T12:00:00.000Z
경기,수원시,66,47,2022-02-25T12:00:00.000Z
경기,시흥시,88,54,2022-02-25T12:00:00.000Z
경기,안산시,72,47,2022-02-25T12:00:00.000Z
경기,안성시,92,58,2022-02-25T12:00:00.000Z
경기,안양시,76,52,2022-02-25T12:00:00.000Z
경기,양주시,69,48,2022-02-25T12:00:00.000Z
경기,양평군,59,51,2022-02-25T12:00:00.000Z
경기,여주시,64,45,2022-02-25T12:00:00.000Z
경기,연천군,null,52,2022-02-25T12:00:00.000Z
경기,오산시,70,49,2022-02-25T12:00:00.000Z
경기,용인시,75,56,2022-02-25T12:00:00.000Z
경기,의왕시,58,44,2022-02-25T12:00:00.000Z
경기,의정부시,71,50,2022-02-25T12:00:00.000Z
경기,이천시,68,45,2022-02-25T12:00:00.000Z
경기,파주시,81,71,2022-02-25T12:00:00.000Z
경기,평택시,74,46,2022-02-25T12:00:00.000Z
경기,포천시,70,53,2022-02-25T12:00:00.000Z
경기,하남시,60,35,2022-02-25T12:00:00.000Z
경기,화성시,76,49,2022-02-25T12:00:00.000Z
서울,강남구,51,26,2022-02-26T15:00:00.000Z
서울,강동구,55,27,2022-02-26T15:00:00.000Z
서울,강북구,55,28,2022-02-26T15:00:00.000Z
서울,강서구,49,20,2022-02-26T15:00:00.000Z
서울,관악구,49,23,2022-02-26T15:00:00.000Z
서울,광진구,49,25,2022-02-26T15:00:00.000Z
서울,구로구,55,28,2022-02-26T15:00:00.000Z
서울,금천구,52,27,2022-02-26T15:00:00.000Z
서울,노원구,54,25,2022-02-26T15:00:00.000Z
서울,도봉구,50,29,2022-02-26T15:00:00.000Z
서울,동대문구,54,31,2022-02-26T15:00:00.000Z
서울,동작구,51,28,2022-02-26T15:00:00.000Z
서울,마포구,52,22,2022-02-26T15:00:00.000Z
서울,서대문구,51,28,2022-02-26T15:00:00.000Z
서울,서초구,66,29,2022-02-26T15:00:00.000Z
서울,성동구,52,22,2022-02-26T15:00:00.000Z
서울,성북구,59,26,2022-02-26T15:00:00.000Z
서울,송파구,55,29,2022-02-26T15:00:00.000Z
서울,양천구,53,25,2022-02-26T15:00:00.000Z
서울,영등포구,51,23,2022-02-26T15:00:00.000Z
서울,용산구,42,25,2022-02-26T15:00:00.000Z
서울,은평구,57,32,2022-02-26T15:00:00.000Z
서울,종로구,53,30,2022-02-26T15:00:00.000Z
서울,중구,44,27,2022-02-26T15:00:00.000Z
서울,중랑구,54,32,2022-02-26T15:00:00.000Z
서울,강남구,25,10,2022-02-24T11:00:00.000Z
서울,강동구,44,19,2022-02-24T11:00:00.000Z
서울,강북구,41,24,2022-02-24T11:00:00.000Z
서울,강서구,31,9,2022-02-24T11:00:00.000Z
서울,관악구,29,15,2022-02-24T11:00:00.000Z
서울,광진구,35,22,2022-02-24T11:00:00.000Z
서울,구로구,null,null,2022-02-24T11:00:00.000Z
서울,금천구,31,19,2022-02-24T11:00:00.000Z
서울,노원구,40,28,2022-02-24T11:00:00.000Z
서울,도봉구,33,20,2022-02-24T11:00:00.000Z
서울,동대문구,26,13,2022-02-24T11:00:00.000Z
서울,동작구,36,20,2022-02-24T11:00:00.000Z
서울,마포구,32,18,2022-02-24T11:00:00.000Z
서울,서대문구,24,16,2022-02-24T11:00:00.000Z
서울,서초구,33,14,2022-02-24T11:00:00.000Z
서울,성동구,30,10,2022-02-24T11:00:00.000Z
서울,성북구,40,16,2022-02-24T11:00:00.000Z
서울,송파구,38,18,2022-02-24T11:00:00.000Z
서울,양천구,36,21,2022-02-24T11:00:00.000Z
서울,영등포구,34,19,2022-02-24T11:00:00.000Z
서울,용산구,37,20,2022-02-24T11:00:00.000Z
서울,은평구,45,16,2022-02-24T11:00:00.000Z
서울,종로구,24,17,2022-02-24T11:00:00.000Z
서울,중구,25,17,2022-02-24T11:00:00.000Z
서울,중랑구,43,21,2022-02-24T11:00:00.000Z
서울,강남구,42,23,2022-02-26T17:00:00.000Z
서울,강동구,53,26,2022-02-26T17:00:00.000Z
서울,강북구,49,28,2022-02-26T17:00:00.000Z
서울,강서구,46,17,2022-02-26T17:00:00.000Z
서울,관악구,59,21,2022-02-26T17:00:00.000Z
서울,광진구,46,22,2022-02-26T17:00:00.000Z
서울,구로구,47,26,2022-02-26T17:00:00.000Z
서울,금천구,40,21,2022-02-26T17:00:00.000Z
서울,노원구,61,41,2022-02-26T17:00:00.000Z
서울,도봉구,42,30,2022-02-26T17:00:00.000Z
서울,동대문구,45,21,2022-02-26T17:00:00.000Z
서울,동작구,42,23,2022-02-26T17:00:00.000Z
서울,마포구,48,19,2022-02-26T17:00:00.000Z
서울,서대문구,50,28,2022-02-26T17:00:00.000Z
서울,서초구,63,26,2022-02-26T17:00:00.000Z
서울,성동구,48,16,2022-02-26T17:00:00.000Z
서울,성북구,51,24,2022-02-26T17:00:00.000Z
서울,송파구,48,21,2022-02-26T17:00:00.000Z
서울,양천구,42,21,2022-02-26T17:00:00.000Z
서울,영등포구,44,21,2022-02-26T17:00:00.000Z
서울,용산구,40,24,2022-02-26T17:00:00.000Z
서울,은평구,47,30,2022-02-26T17:00:00.000Z
서울,종로구,46,22,2022-02-26T17:00:00.000Z
서울,중구,39,26,2022-02-26T17:00:00.000Z
서울,중랑구,46,25,2022-02-26T17:00:00.000Z
서울,강남구,25,12,2022-02-23T23:00:00.000Z
서울,강동구,24,8,2022-02-23T23:00:00.000Z
서울,강북구,28,8,2022-02-23T23:00:00.000Z
서울,강서구,23,8,2022-02-23T23:00:00.000Z
서울,관악구,20,7,2022-02-23T23:00:00.000Z
서울,광진구,21,9,2022-02-23T23:00:00.000Z
서울,구로구,17,3,2022-02-23T23:00:00.000Z
서울,금천구,15,7,2022-02-23T23:00:00.000Z
서울,노원구,28,11,2022-02-23T23:00:00.000Z
서울,도봉구,21,7,2022-02-23T23:00:00.000Z
서울,동대문구,20,10,2022-02-23T23:00:00.000Z
서울,동작구,24,9,2022-02-23T23:00:00.000Z
서울,마포구,20,9,2022-02-23T23:00:00.000Z
서울,서대문구,23,8,2022-02-23T23:00:00.000Z
서울,서초구,20,6,2022-02-23T23:00:00.000Z
서울,성동구,23,7,2022-02-23T23:00:00.000Z
서울,성북구,25,6,2022-02-23T23:00:00.000Z
서울,송파구,25,11,2022-02-23T23:00:00.000Z
서울,양천구,24,10,2022-02-23T23:00:00.000Z
서울,영등포구,20,8,2022-02-23T23:00:00.000Z
서울,용산구,24,12,2022-02-23T23:00:00.000Z
서울,은평구,19,14,2022-02-23T23:00:00.000Z
서울,종로구,22,9,2022-02-23T23:00:00.000Z
서울,중구,20,11,2022-02-23T23:00:00.000Z
서울,중랑구,23,9,2022-02-23T23:00:00.000Z
서울,강남구,70,49,2022-02-25T12:00:00.000Z
서울,강동구,72,49,2022-02-25T12:00:00.000Z
서울,강북구,83,62,2022-02-25T12:00:00.000Z
서울,강서구,69,47,2022-02-25T12:00:00.000Z
서울,관악구,62,44,2022-02-25T12:00:00.000Z
서울,광진구,66,53,2022-02-25T12:00:00.000Z
서울,구로구,68,53,2022-02-25T12:00:00.000Z
서울,금천구,70,53,2022-02-25T12:00:00.000Z
서울,노원구,60,41,2022-02-25T12:00:00.000Z
서울,도봉구,79,61,2022-02-25T12:00:00.000Z
서울,동대문구,73,50,2022-02-25T12:00:00.000Z
서울,동작구,74,50,2022-02-25T12:00:00.000Z
서울,마포구,54,42,2022-02-25T12:00:00.000Z
서울,서대문구,78,56,2022-02-25T12:00:00.000Z
서울,서초구,70,56,2022-02-25T12:00:00.000Z
서울,성동구,66,38,2022-02-25T12:00:00.000Z
서울,성북구,86,45,2022-02-25T12:00:00.000Z
서울,송파구,54,32,2022-02-25T12:00:00.000Z
서울,양천구,82,54,2022-02-25T12:00:00.000Z
서울,영등포구,68,54,2022-02-25T12:00:00.000Z
서울,용산구,68,48,2022-02-25T12:00:00.000Z
서울,은평구,79,59,2022-02-25T12:00:00.000Z
서울,종로구,71,57,2022-02-25T12:00:00.000Z
서울,중구,68,59,2022-02-25T12:00:00.000Z
서울,중랑구,78,54,2022-02-25T12:00:00.000Z
경북,경산시,63,35,2022-02-26T15:00:00.000Z
경북,경주시,52,34,2022-02-26T15:00:00.000Z
경북,고령군,58,24,2022-02-26T15:00:00.000Z
경북,구미시,65,42,2022-02-26T15:00:00.000Z
경북,군위군,62,48,2022-02-26T15:00:00.000Z
경북,김천시,45,22,2022-02-26T15:00:00.000Z
경북,문경시,48,26,2022-02-26T15:00:00.000Z
경북,봉화군,52,25,2022-02-26T15:00:00.000Z
경북,상주시,47,27,2022-02-26T15:00:00.000Z
경북,성주군,55,40,2022-02-26T15:00:00.000Z
경북,안동시,57,31,2022-02-26T15:00:00.000Z
경북,영덕군,50,32,2022-02-26T15:00:00.000Z
경북,영양군,64,33,2022-02-26T15:00:00.000Z
경북,영주시,68,44,2022-02-26T15:00:00.000Z
경북,영천시,65,36,2022-02-26T15:00:00.000Z
경북,예천군,51,30,2022-02-26T15:00:00.000Z
경북,울릉군,69,37,2022-02-26T15:00:00.000Z
경북,울진군,62,38,2022-02-26T15:00:00.000Z
경북,의성군,51,30,2022-02-26T15:00:00.000Z
경북,청도군,60,37,2022-02-26T15:00:00.000Z
경북,청송군,72,41,2022-02-26T15:00:00.000Z
경북,칠곡군,69,50,2022-02-26T15:00:00.000Z
경북,포항시,62,33,2022-02-26T15:00:00.000Z
경북,김천시,42,19,2022-02-26T17:00:00.000Z
경북,문경시,50,21,2022-02-26T17:00:00.000Z
경북,봉화군,43,18,2022-02-26T17:00:00.000Z
경북,상주시,35,28,2022-02-26T17:00:00.000Z
경북,성주군,35,19,2022-02-26T17:00:00.000Z
경북,안동시,53,27,2022-02-26T17:00:00.000Z
경북,영덕군,44,29,2022-02-26T17:00:00.000Z
경북,영양군,50,23,2022-02-26T17:00:00.000Z
경북,영주시,62,30,2022-02-26T17:00:00.000Z
경북,영천시,68,24,2022-02-26T17:00:00.000Z
경북,예천군,59,28,2022-02-26T17:00:00.000Z
경북,울릉군,87,44,2022-02-26T17:00:00.000Z
경북,울진군,51,34,2022-02-26T17:00:00.000Z
경북,의성군,39,23,2022-02-26T17:00:00.000Z
경북,청도군,49,35,2022-02-26T17:00:00.000Z
경북,청송군,51,35,2022-02-26T17:00:00.000Z
경북,칠곡군,31,21,2022-02-26T17:00:00.000Z
경북,포항시,55,29,2022-02-26T17:00:00.000Z
경북,경산시,62,40,2022-02-25T12:00:00.000Z
경북,경주시,56,32,2022-02-25T12:00:00.000Z
경북,고령군,49,29,2022-02-25T12:00:00.000Z
경북,구미시,56,36,2022-02-25T12:00:00.000Z
경북,군위군,51,29,2022-02-25T12:00:00.000Z
경북,김천시,64,39,2022-02-25T12:00:00.000Z
경북,문경시,56,39,2022-02-25T12:00:00.000Z
경북,봉화군,40,21,2022-02-25T12:00:00.000Z
경북,상주시,50,41,2022-02-25T12:00:00.000Z
경북,성주군,49,29,2022-02-25T12:00:00.000Z
경북,안동시,56,36,2022-02-25T12:00:00.000Z
경북,영덕군,45,28,2022-02-25T12:00:00.000Z
경북,영양군,51,28,2022-02-25T12:00:00.000Z
경북,영주시,76,46,2022-02-25T12:00:00.000Z
경북,영천시,54,27,2022-02-25T12:00:00.000Z
경북,예천군,54,34,2022-02-25T12:00:00.000Z
경북,울릉군,41,21,2022-02-25T12:00:00.000Z
경북,울진군,54,32,2022-02-25T12:00:00.000Z
경북,의성군,44,23,2022-02-25T12:00:00.000Z
경북,청도군,39,33,2022-02-25T12:00:00.000Z
경북,청송군,54,31,2022-02-25T12:00:00.000Z
경북,칠곡군,61,35,2022-02-25T12:00:00.000Z
경북,포항시,60,32,2022-02-25T12:00:00.000Z
경북,경산시,22,14,2022-02-23T23:00:00.000Z
경북,경주시,23,15,2022-02-23T23:00:00.000Z
경북,고령군,20,8,2022-02-23T23:00:00.000Z
경북,구미시,23,14,2022-02-23T23:00:00.000Z
경북,군위군,18,6,2022-02-23T23:00:00.000Z
경북,김천시,28,12,2022-02-23T23:00:00.000Z
경북,문경시,26,16,2022-02-23T23:00:00.000Z
경북,봉화군,23,16,2022-02-23T23:00:00.000Z
경북,상주시,22,null,2022-02-23T23:00:00.000Z
경북,성주군,19,11,2022-02-23T23:00:00.000Z
경북,안동시,26,16,2022-02-23T23:00:00.000Z
경북,영덕군,24,16,2022-02-23T23:00:00.000Z
경북,영양군,24,8,2022-02-23T23:00:00.000Z
경북,영주시,42,19,2022-02-23T23:00:00.000Z
경북,영천시,15,11,2022-02-23T23:00:00.000Z
경북,예천군,35,14,2022-02-23T23:00:00.000Z
경북,울릉군,23,6,2022-02-23T23:00:00.000Z
경북,울진군,17,11,2022-02-23T23:00:00.000Z
경북,의성군,22,14,2022-02-23T23:00:00.000Z
경북,청도군,25,18,2022-02-23T23:00:00.000Z
경북,청송군,27,14,2022-02-23T23:00:00.000Z
경북,칠곡군,29,12,2022-02-23T23:00:00.000Z
경북,포항시,30,17,2022-02-23T23:00:00.000Z
경북,경산시,38,20,2022-02-24T11:00:00.000Z
경북,경주시,21,10,2022-02-24T11:00:00.000Z
경북,고령군,null,null,2022-02-24T11:00:00.000Z
경북,구미시,22,13,2022-02-24T11:00:00.000Z
경북,군위군,21,7,2022-02-24T11:00:00.000Z
경북,김천시,23,7,2022-02-24T11:00:00.000Z
경북,문경시,18,8,2022-02-24T11:00:00.000Z
경북,봉화군,30,11,2022-02-24T11:00:00.000Z
경북,상주시,16,16,2022-02-24T11:00:00.000Z
경북,성주군,33,14,2022-02-24T11:00:00.000Z
경북,안동시,18,10,2022-02-24T11:00:00.000Z
경북,영덕군,21,9,2022-02-24T11:00:00.000Z
경북,영양군,27,9,2022-02-24T11:00:00.000Z
